Product_ID,Product_Name,Category,Sub_Category,Price,Supplier
PROD00001,Tata Cricket Bat,Sports,Cricket Bat,24799,BigBasket
PROD00002,LG Women Dress,Fashion,Women Dress,6333,Flipkart Seller
PROD00003,Mi Cricket Bat,Sports,Cricket Bat,14325,Reliance Retail
PROD00004,Bajaj Mobile,Electronics,Mobile,65990,ITC Limited
PROD00005,Apple Academic Book,Books,Academic Book,964,ITC Limited
PROD00006,Dell Shampoo,Beauty,Shampoo,4927,BigBasket
PROD00007,Sony Rice,Grocery,Rice,2909,Vijay Sales
PROD00008,LG Dining Table,Home & Kitchen,Dining Table,14610,Croma
PROD00009,Aashirvaad Mobile,Electronics,Mobile,30353,Croma
PROD00010,OnePlus Tea Powder,Grocery,Tea Powder,1133,Reliance Retail
PROD00011,Apple Badminton Racket,Sports,Badminton Racket,4590,Vijay Sales
PROD00012,Adidas Television,Electronics,Television,99800,Godrej Consumer
PROD00013,Reliance Men T-Shirt,Fashion,Men T-Shirt,5717,DMart
PROD00014,Prestige Tea Powder,Grocery,Tea Powder,1003,Flipkart Seller
PROD00015,Dell Perfume,Beauty,Perfume,3088,Amazon Seller
PROD00016,Bajaj Dining Table,Home & Kitchen,Dining Table,44420,BigBasket
PROD00017,OnePlus Cricket Bat,Sports,Cricket Bat,21306,Amazon Seller
PROD00018,Sony Novel,Books,Novel,2043,Vijay Sales
PROD00019,Puma LED Lamp,Home & Kitchen,LED Lamp,45366,Croma
PROD00020,Puma Rice,Grocery,Rice,181,Croma
PROD00021,Prestige Perfume,Beauty,Perfume,1828,Godrej Consumer
PROD00022,Bajaj Dumbbell,Sports,Dumbbell,21977,Tata Consumer
PROD00023,LG Lipstick,Beauty,Lipstick,2269,Amazon Seller
PROD00024,Apple Handbag,Fashion,Handbag,2452,Godrej Consumer
PROD00025,Amul Lipstick,Beauty,Lipstick,1896,Amazon Seller
PROD00026,Prestige Children Book,Books,Children Book,342,Flipkart Seller
PROD02656,LG Mobile,Electronics,Mobile,119964,Amazon Seller
PROD00028,OnePlus Lipstick,Beauty,Lipstick,3934,ITC Limited
PROD00029,Tata LED Lamp,Home & Kitchen,LED Lamp,45083,Flipkart Seller
PROD00030,Boat Dumbbell,Sports,Dumbbell,4155,BigBasket
PROD00031,Dell Shampoo,Beauty,Shampoo,126,BigBasket
PROD00032,Lenovo Novel,Books,Novel,585,BigBasket
PROD00033,OnePlus Spices,Grocery,Spices,864,Amazon Seller
PROD00034,Apple Pressure Cooker,Home & Kitchen,Pressure Cooker,35257,Reliance Retail
PROD00035,HP Biography,Books,Biography,229,Flipkart Seller
PROD00036,Puma Dining Table,Home & Kitchen,Dining Table,4296,DMart
PROD00037,Prestige Academic Book,Books,Academic Book,2140,Flipkart Seller
PROD00038,LG Spices,Grocery,Spices,575,Tata Consumer
PROD00039,Nike Novel,Books,Novel,2311,Godrej Consumer
PROD00040,Apple Shampoo,Beauty,Shampoo,1747,BigBasket
PROD00041,Dell Perfume,Beauty,Perfume,4339,Tata Consumer
PROD00042,Puma Laptop,Electronics,Laptop,21784,Croma
PROD00043,Apple Television,Electronics,Television,65323,Godrej Consumer
